epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,330.756,1.05905,1.25571,1.39035,0.90102,0.79664,0.88311,0.6798,0.89597,0.78568,1.29889,0.0006568,0.0006568,0.0006568
54,828.63,1.04634,1.24452,1.38728,0.88981,0.81081,0.88682,0.68226,0.88628,0.76279,1.27894,0.0006502,0.0006502,0.0006502
55,1336.24,1.03807,1.23551,1.37376,0.88993,0.80791,0.8891,0.68378,0.90449,0.76285,1.29342,0.0006436,0.0006436,0.0006436
56,1775.11,1.05059,1.23763,1.38442,0.89531,0.8143,0.89289,0.689,0.89346,0.77263,1.28193,0.000637,0.000637,0.000637
57,2192.95,1.04243,1.21963,1.37931,0.88134,0.82097,0.89428,0.69102,0.88145,0.75367,1.26576,0.0006304,0.0006304,0.0006304
58,2863.68,1.05037,1.23743,1.38213,0.87886,0.82492,0.89726,0.6987,0.87175,0.72782,1.25851,0.0006238,0.0006238,0.0006238
59,3291.37,1.03421,1.20143,1.37011,0.88273,0.81713,0.88826,0.69351,0.86451,0.74919,1.25478,0.0006172,0.0006172,0.0006172
60,3746.48,1.04438,1.21959,1.3761,0.8899,0.81349,0.89355,0.70375,0.84389,0.73366,1.24488,0.0006106,0.0006106,0.0006106
61,4110.55,1.04179,1.22495,1.37341,0.89741,0.81344,0.89763,0.7051,0.8492,0.71373,1.24281,0.000604,0.000604,0.000604
62,4494.36,1.02957,1.19955,1.36339,0.9086,0.81569,0.89597,0.70643,0.84399,0.71286,1.24111,0.0005974,0.0005974,0.0005974
63,4865.83,1.02791,1.20195,1.36746,0.89941,0.80817,0.89639,0.7084,0.8266,0.7077,1.22969,0.0005908,0.0005908,0.0005908
64,5221.03,1.03182,1.19728,1.36439,0.89221,0.81599,0.89593,0.70356,0.84688,0.71564,1.24699,0.0005842,0.0005842,0.0005842
65,5612.96,1.02986,1.1871,1.36571,0.90238,0.81333,0.90073,0.70578,0.845,0.72159,1.23957,0.0005776,0.0005776,0.0005776
66,5936.25,1.02666,1.19331,1.36345,0.89607,0.8247,0.89727,0.70914,0.83984,0.72937,1.23287,0.000571,0.000571,0.000571
67,6291.67,1.02572,1.18337,1.35795,0.90028,0.82809,0.90059,0.71164,0.83236,0.69789,1.23132,0.0005644,0.0005644,0.0005644
68,6665.28,1.02041,1.18011,1.35822,0.91052,0.81688,0.90105,0.70867,0.83882,0.70364,1.2285,0.0005578,0.0005578,0.0005578
69,7065.96,1.01226,1.15452,1.35064,0.90049,0.82071,0.90297,0.71255,0.83971,0.69395,1.23665,0.0005512,0.0005512,0.0005512
70,7513.02,1.01981,1.17243,1.35552,0.91683,0.80605,0.89959,0.697,0.85656,0.70285,1.24115,0.0005446,0.0005446,0.0005446
71,7965.13,1.01068,1.14654,1.35021,0.89944,0.8204,0.90068,0.71186,0.82025,0.69256,1.21984,0.000538,0.000538,0.000538
72,8470.02,1.01025,1.13782,1.3437,0.90466,0.8236,0.89988,0.71297,0.81566,0.68042,1.21766,0.0005314,0.0005314,0.0005314
73,8861.86,1.0161,1.15716,1.35564,0.89985,0.8284,0.90098,0.71072,0.82722,0.67388,1.22536,0.0005248,0.0005248,0.0005248
74,9346.21,1.00616,1.14941,1.35015,0.90669,0.82036,0.89976,0.71391,0.81598,0.687,1.21142,0.0005182,0.0005182,0.0005182
75,12649.1,1.00768,1.12804,1.34196,0.89833,0.83368,0.90045,0.71042,0.8298,0.69998,1.22026,0.0005116,0.0005116,0.0005116
